Player,Fls,Fld,Recov,aerWon,aerLost
Alessandro Russo,0,1,0,0,0
Franco Russo,0,2,12,3,2
Georginio Rutter,5,6,7,11,9
Georginio Rutter,17,19,25,9,23
Julian Ryerson,16,12,77,5,11
Julian Ryerson,15,19,96,13,9
Frederik Rønnow,0,4,42,10,2
José Sá,1,8,45,6,1
Youssouf Sabaly,20,33,109,5,11
Halid Šabanović,10,2,28,4,4
Abdelhamid Sabiri,28,39,50,30,29
Marcel Sabitzer,8,10,52,13,11
Marcel Sabitzer,7,1,47,8,11
Falaye Sacko,26,19,179,17,18
Umar Sadiq,9,2,8,4,10
Umar Sadiq,3,1,1,2,2
Alexis Saelemaekers,23,22,63,9,5
Wesley Saïd,20,1,20,5,7
Allan Saint-Maximin,6,16,69,2,2
Théo Sainte-Luce,13,1,21,6,9
Samuel Sáiz,3,4,15,2,3
Bukayo Saka,43,65,127,16,38
Hamza Sakhi,13,21,106,6,3
Mamadou Sakho,6,5,45,22,18
Jacopo Sala,3,3,5,1,0
Ibrahim Salah,2,1,18,2,4
Mohamed Salah,20,33,100,8,30
Amine Salama,7,9,51,8,19
Kike Salas,4,1,14,9,6
William Saliba,19,13,206,53,43
Dikeni-Rafid Salifou,0,0,0,0,0
Mohammed Salisu,26,3,158,55,26
Roland Sallai,29,30,58,21,18
Yoann Salmier,30,28,181,54,32
Salvi,8,10,30,4,11
Lazar Samardzic,26,13,107,9,22
Diadie Samassékou,3,0,3,0,0
Mama Samba Baldé,38,46,100,43,76
Brice Samba,0,6,42,8,2
Albert Sambi Lokonga,1,5,14,3,2
Albert Sambi Lokonga,7,12,34,5,11
Junior Sambia,11,17,34,15,10
Fede San Emeterio,58,22,87,23,30
Antonio Sanabria,33,27,64,86,124
Leandro Sanca,0,0,5,0,2
Oihan Sancet,41,54,140,24,22
Renato Sanches,22,10,52,5,4
Alexis Sánchez,44,46,83,35,70
Antonio Sánchez,26,15,96,7,16
Davinson Sánchez,7,4,45,28,16
Iván Sánchez,9,43,62,2,12
Javi Sánchez,34,9,115,46,45
Manu Sánchez,26,10,126,15,22
Robert Sánchez,1,0,25,7,0
Jadon Sancho,9,10,109,2,12
Alex Sandro,27,25,127,39,22
Leroy Sané,17,23,115,6,7
Sidi Sané,0,0,1,0,0
Morgan Sanson,0,2,1,0,1
Morgan Sanson,21,34,104,14,13
Nicola Sansone,13,16,23,0,13
Baptiste Santamaria,23,20,173,60,40
Riccardo Saponara,14,22,67,8,8
Pablo Sarabia,13,8,42,3,13
Pablo Sarabia,4,5,16,0,2
Jeremy Sarmiento,4,4,4,0,4
Amin Sarr,14,4,19,10,18
Bouna Sarr,0,0,0,0,0
Malang Sarr,10,4,49,15,9
Mamadou Sarr,0,0,0,0,0
Mouhamadou Sarr,0,0,1,1,0
Martin Satriano,20,29,52,43,61
Téji Savanier,58,97,210,12,22
Esteban Saveljich,0,0,0,0,0
Stefan Savić,31,8,104,56,30
Joe Scally,13,51,94,18,15
Giorgio Scalvini,55,6,179,49,37
Gianluca Scamacca,16,10,23,17,21
Gustavo Scarpa,4,8,12,1,2
Kevin Schade,13,8,33,30,24
Kevin Schade,4,6,7,17,12
András Schäfer,14,15,65,11,14
Fabian Schär,20,27,209,112,55
Derry Scherhant,2,2,11,2,7
Patrik Schick,5,16,18,30,38
Kingsley Schindler,11,12,66,24,11
Xaver Schlager,27,24,132,13,20
Keven Schlotterbeck,0,1,0,2,0
Keven Schlotterbeck,11,9,54,34,26
Nico Schlotterbeck,16,17,194,60,33
Jeffrey Schlupp,51,33,150,26,44
Kasper Schmeichel,0,0,25,3,0
Jonathan Schmid,1,0,4,0,0
Romano Schmid,16,23,97,18,33
Kenneth Schmidt,1,0,17,4,4
Niklas Schmidt,20,14,101,13,13
Benno Schmitz,32,18,152,30,30
Jerdy Schouten,25,30,216,28,27
Perr Schuurs,31,3,177,60,49
Marvin Schwäbe,0,2,33,6,1
Alexander Schwolow,0,4,30,3,1
Manuel Sebastián,1,2,12,1,3
Demba Seck,8,18,23,7,10
Haris Seferović,4,7,24,19,19
Telasco Segovia,0,0,0,0,0
Jacopo Segre,0,0,2,1,1
Paul Seguin,13,3,54,13,11
Alidu Seidu,33,70,203,26,9
Davie Selke,7,6,6,22,24
Davie Selke,15,12,16,65,48
Matz Sels,0,3,29,9,0
Nélson Semedo,47,24,167,30,37
Vivaldo Semedo,1,1,1,0,2
Antoine Semenyo,6,5,13,9,9
Marvin Senaya,0,0,2,1,1
Marcos Senesi,29,13,168,26,22
Stefano Sensi,18,50,124,8,10
Jaime Seoane,6,4,17,2,5
Luigi Sepe,1,2,27,4,0
Suat Serdar,33,31,139,30,31
Leonardo Sernicola,40,43,136,29,21
Ryan Sessegnon,15,6,49,10,10
Stephan El Shaarawy,16,18,96,16,18
Eniss Shabani,1,0,1,0,0
Luke Shaw,46,27,189,46,29
Jonjo Shelvey,1,0,4,0,0
Jonjo Shelvey,9,1,32,4,1
Eldor Shomurodov,9,7,30,20,35
Eldor Shomurodov,1,2,2,2,2
Kaj Sierhuis,5,4,9,2,8
Vincent Sierro,19,8,50,9,9
Kiliann Sildillia,38,6,107,42,43
André Silva,32,44,48,20,35
Bernardo Silva,31,15,122,4,13
Caio Henrique Oliveira Silva,15,25,208,16,27
David Silva,30,33,137,10,12
Rui Silva,0,2,43,6,1
Thiago Silva,10,13,148,61,23
Marco Silvestri,0,4,39,9,0
Abdallah Sima,32,24,52,43,63
Mohamed Simakan,24,25,92,38,25
Giovanni Simeone,7,9,15,6,19
Ellis Simms,0,1,6,11,20
Simo,2,0,6,2,4
Moses Simon,11,32,114,11,39
Unai Simón,0,1,36,0,0
Lassine Sinayoko,31,22,112,22,39
Wilfried Singo,42,35,116,53,23
Luis Sinisterra,14,12,65,18,18
Daley Sinkgraven,6,4,17,3,5
Tobias Sippel,0,0,7,2,1
Hugo Siquet,0,1,0,0,0
Salvatore Sirigu,0,0,2,0,0
Ibrahima Sissoko,41,15,121,30,23
Moussa Sissoko,27,14,153,24,23
Tim Skarke,3,0,1,0,1
Tim Skarke,4,7,29,4,12
Ellyes Skhiri,34,11,250,40,22
Oliver Skipp,23,17,107,7,25
Leo Skiri Østigård,2,4,18,30,7
Łukasz Skorupski,1,7,53,6,1
Robert Skov,17,21,74,15,17
Milan Škriniar,35,14,112,17,18
Naatan Skyttä,0,1,1,0,1
Islam Slimani,18,14,16,22,25
Chris Smalling,18,14,142,71,24
Adam Smith,29,27,128,29,38
Emile Smith Rowe,1,1,8,0,2
Hrvoje Smolčić,0,5,31,27,13
Cédric Soares,1,0,0,0,1
Cédric Soares,1,2,11,2,6
Danilo Soares,28,24,175,24,18
Eduard Sobol,10,17,35,9,5
Rubén Sobrino,50,53,164,60,64
Alex Sola,3,8,17,7,3
Dominic Solanke,40,53,87,52,98
Augusto Solari,9,4,18,4,3
Ola Solbakken,6,7,21,4,11
Nikola Soldo,5,2,44,7,9
Carlos Soler,2,4,4,1,1
Carlos Soler,18,14,67,1,6
François-Joseph Sollacaro,0,0,6,0,0
Manor Solomon,5,4,46,3,3
Yann Sommer,0,0,14,0,1
Yann Sommer,1,2,39,6,2
Brandon Soppy,2,2,6,1,0
Brandon Soppy,18,20,49,4,2
David Soria,1,3,39,4,0
Roberto Soriano,20,33,77,11,16
Borna Sosa,12,12,113,15,13
Joaquin Sosa,16,7,43,14,12
Hugo Sotelo,0,0,0,0,1
Florian Sotoca,37,44,124,56,45
Riccardo Sottil,4,27,32,3,5
Tomáš Souček,50,16,143,114,92
Matìas Soulé,3,5,30,3,14
Moussa Soumano,10,4,10,8,23
Adama Soumaoro,21,12,96,31,15
Boubakary Soumaré,31,22,119,18,14
Arnaud Souquet,7,7,27,9,10
Dyego Sousa,10,12,17,27,25
Harry Souttar,5,5,45,38,6
Vinicius Souza,65,38,151,72,63
Djibril Sow,39,49,210,24,28
Çağlar Söyüncü,7,4,42,24,16
Kevin Spadanuda,20,21,65,5,18
Djed Spence,0,0,1,1,0
Djed Spence,7,9,35,4,1
Stijn Spierings,55,50,336,20,20
Leonardo Spinazzola,13,13,99,9,8
Marco Sportiello,0,2,27,4,0
Jack Stacey,4,0,15,5,3
Anton Stach,26,40,167,72,31
Kostas Stafylidis,16,16,73,14,20
Jens Stage,32,19,95,52,45
Veit Stange,0,0,0,0,0
Josip Stanišić,5,3,33,6,3
Junior Stanislas,0,0,1,0,1
Jay Stansfield,1,1,7,0,1
Niklas Stark,41,18,113,45,53
Jason Steele,1,1,22,1,0
Calvin Stengs,5,6,13,1,1
Pascal Stenzel,3,2,29,1,2
Jack Stephens,1,0,0,1,0
Jack Stephens,8,2,66,16,19
Raheem Sterling,21,32,66,5,13
Angelo Stiller,11,3,51,16,10
Lars Stindl,30,39,72,9,28
Kevin Stöger,41,54,181,11,42
Petar Stojanović,12,15,91,4,7
John Stones,10,8,90,33,16
Jørgen Strand Larsen,34,43,42,42,47
Tony Strata,3,1,9,0,0
Gabriel Strefezza,51,71,134,16,45
Dávid Strelec,4,1,1,5,6
Pascal Struijk,29,12,139,60,43
Cristhian Stuani,39,23,26,21,24
Damián Suárez,43,17,132,14,16
Denis Suárez,16,14,49,4,12
Mario Suárez,0,0,0,0,1
Gabriel Suazo,18,11,104,9,9
Isaac Success,34,77,51,38,46
Niklas Süle,8,5,150,32,17
Ibrahim Sulemana,11,3,55,10,12
Kamaldeen Sulemana,9,12,39,5,14
Kamaldeen Sulemana,5,6,29,4,5
Crysencio Summerville,22,41,90,5,17
Ivan Šunjić,17,9,67,7,14
Sam Surridge,12,10,17,13,16
Suso,13,19,55,3,7
Yuito Suzuki,1,2,1,1,0
Mattias Svanberg,27,28,97,20,34
Mile Svilar,0,0,6,0,0
Williot Swedberg,1,1,2,0,0
Issiaga Sylla,8,9,100,27,15
Issiaga Sylla,24,18,120,12,16
Wojciech Szczęsny,0,1,35,10,0
Dominik Szoboszlai,25,39,151,7,18
Alexander Sørloth,32,16,74,60,54
Alexander Sørloth,1,0,0,0,0
Nicolás Tagliafico,40,59,166,42,37
Jonathan Tah,22,3,167,57,46
Benjamin Tahirovic,5,2,26,5,2
Waniss Taibi,3,0,16,2,5
Flavien Tait,25,29,128,7,10
Montassar Talbi,16,26,164,90,47
Thibault Tamas,2,0,1,0,0
Adrien Tameze,32,31,218,27,31
Japhet Tanganga,3,3,8,6,2
Renato Tapia,29,16,80,26,18
Edmond Tapsoba,28,17,270,55,43
Florian Tardieu,11,20,87,7,8
Matt Targett,10,3,46,11,7
James Tarkowski,40,23,173,120,48
Ciprian Tătărușanu,0,3,23,1,1
Niklas Tauer,1,0,3,2,1
Nuno Tavares,37,38,173,23,31
Marcus Tavernier,21,28,124,17,32
Enzo Tchato,13,7,56,17,16
Aurélien Tchouaméni,35,35,123,48,24
Mathys Tel,9,6,16,8,11
Semir Telalovic,1,0,0,1,4
Alex Telles,25,14,78,26,16
Marc-André ter Stegen,0,2,69,6,1
Simon Terodde,37,36,40,71,119
Filippo Terracciano,7,17,47,15,20
Pietro Terracciano,2,0,51,6,0
Ramón Terrats,14,18,43,6,7
Ramón Terrats,3,3,9,0,7
Martin Terrier,12,24,58,63,37
Aleksa Terzić,4,12,59,7,9
Tetê,3,17,52,5,12
Tetê,10,19,48,4,12
Kenny Tete,42,54,141,33,29
Florian Thauvin,9,7,18,7,7
Arthur Theate,24,13,182,70,38
Malick Thiaw,14,7,93,52,26
Malick Thiaw,3,0,11,10,5
Jan Thielmann,14,19,39,13,24
Sada Thioub,14,6,63,4,14
Luke Thomas,12,7,69,11,14
Adrien Thomasson,16,20,80,7,6
Adrien Thomasson,21,18,79,12,18
Morten Thorsby,21,6,37,21,25
Kristian Thorstvedt,18,22,63,28,25
Khéphren Thuram,31,19,146,16,18
Marcus Thuram,34,44,73,41,58
Alexis Tibidi,0,1,1,2,1
Youri Tielemans,33,25,195,26,12
Kieran Tierney,5,9,43,6,18
Steffen Tigges,11,11,42,67,90
Jean-Clair Todibo,21,15,248,39,29
Harry Toffolo,10,5,54,13,14
Umut Tohumcu,4,5,12,2,0
Karl Toko Ekambi,7,8,28,18,26
Karl Toko Ekambi,8,9,66,16,32
Corentin Tolisso,28,38,199,35,24
Jeremy Toljan,10,14,142,10,21
Rafael Tolói,38,20,233,43,33
Raúl de Tomás,21,23,21,12,20
Tiago Tomás,13,49,48,6,20
Takehiro Tomiyasu,6,3,42,17,20
James Tomkins,3,1,21,6,6
Fikayo Tomori,28,25,190,62,30
Sandro Tonali,35,32,178,15,18
Lorenzo Tonelli,0,0,1,0,0
Ivan Toney,52,74,103,109,117
Pablo Torre,4,3,9,1,1
David Torres,3,2,14,9,9
Ferrán Torres,17,25,53,11,9
Óliver Torres,30,45,145,7,18
Pau Torres,20,17,195,59,48
Roberto Torres,0,0,1,0,0
Lucas Torró,64,31,184,86,50
Nabil Touaizi,0,0,0,0,1
Almamy Touré,5,1,32,14,11
Birama Touré,50,22,242,56,60
Mohamed Toure,1,0,1,1,4
Souleymane Touré,2,0,5,1,0
Souleymane Touré,20,13,83,24,10
Lucas Tousart,36,42,168,91,94
Yoann Touzghar,5,6,10,9,20
Adama Traoré,21,34,66,39,25
Bertrand Traoré,2,8,8,2,4
Boubacar Traoré,10,2,27,7,8
Charles Traore,6,13,26,6,4
Hamari Traoré,33,6,155,33,34
Kevin Trapp,0,4,37,4,0
Mark Travers,0,0,6,4,0
Óscar Trejo,77,65,139,11,36
Manu Trigueros,13,10,33,6,13
Christopher Trimmel,17,7,107,23,19
Théo Trinker,0,0,0,0,0
Kieran Trippier,48,29,264,49,35
William Troost-Ekong,7,1,13,18,9
Leandro Trossard,9,17,46,1,4
Leandro Trossard,10,13,65,6,11
Adrien Truffert,20,25,126,34,26
Frank Tsadjout,22,18,39,59,60
Kostas Tsimikas,13,9,50,7,7
Theocharis Tsingaras,0,0,0,0,0
Viktor Tsyhankov,8,21,70,7,13
Alessandro Tuia,9,2,34,10,14
Martin Turk,0,0,6,1,0
Beñat Turrientes,2,1,7,0,2
Tuta,33,18,240,51,61
Destiny Udogie,37,58,175,17,15
Ike Ugbo,13,10,15,9,41
Lesley Ugochukwu,29,12,71,16,7
Samir Ujkani,0,0,0,0,0
Sven Ulreich,1,1,5,0,0
Lauren Ulrich,0,0,0,0,0
Samuel Umtiti,32,27,167,34,26
Enes Ünal,61,77,87,156,164
Deniz Undav,15,4,21,5,7
Cengiz Ünder,29,31,133,11,19
Dayot Upamecano,30,14,212,47,47
Filip Uremović,27,10,83,55,38
Oscar Ureña,2,1,3,0,1
Jere Uronen,3,7,14,2,6
Jere Uronen,5,13,45,16,10
Mark Uth,2,1,0,1,0
Josha Vagnoman,19,9,74,23,19
Diego Valencia,8,6,10,2,4
Óscar Valentín,75,50,204,27,45
Emanuele Valeri,27,37,190,13,26
Yan Valery,0,0,2,1,0
Yan Valery,46,20,141,37,22
Martin Valjent,33,11,114,34,29
Jesús Vallejo,0,0,1,0,0
Manu Vallejo,1,6,8,0,5
Mattia Valoti,16,12,23,17,21
Federico Valverde,11,15,132,31,11
Virgil van Dijk,13,3,168,98,34
Vanderson,36,18,167,27,27
Raphaël Varane,12,3,100,42,16
Jamie Vardy,21,7,41,47,78
Ruben Vargas,16,16,70,14,23
Johan Vásquez,21,19,129,35,44
Jesus Vazquez,4,5,22,2,4
Kevin Vázquez,8,5,28,2,6
Lucas Vázquez,23,16,63,1,5
Matías Vecino,27,10,107,31,22
Gabriel Veiga,42,41,132,19,17
Renato Veiga,9,4,60,12,14
Miloš Veljković,24,9,131,58,45
Miguel Veloso,20,8,114,14,14
Joël Veltman,27,38,125,26,18
Micky van de Ven,23,27,195,35,32
Unai Vencedor Paris,12,2,19,1,0
Lorenzo Venuti,7,9,53,10,9
Daniele Verde,2,15,50,0,2
Simone Verdi,15,26,66,9,14
Gonzalo Verdú,10,5,33,28,15
Jordan Veretout,35,24,243,20,26
Marco Verratti,36,53,175,11,13
Valerio Verre,14,13,61,12,12
Mikel Vesga,44,21,201,65,48
Guglielmo Vicario,0,8,29,9,2
João Victor,9,11,53,11,6
Aleix Vidal,23,17,63,3,7
Clément Vidal,22,18,92,50,26
Nacho Vidal,28,17,61,29,13
Gabriel Vidovic,0,0,3,0,1
Fabio Vieira,3,5,34,3,5
Ronaldo Vieira,1,0,2,0,1
Ronaldo Vieira,21,9,75,8,11
Emanuel Vignato,3,1,10,2,2
Emanuel Vignato,1,0,3,2,1
Samuele Vignato,0,0,1,1,2
Tonny Vilhena,34,34,126,10,34
Toni Villa,0,1,6,0,0
Toni Villa,12,18,52,1,5
Asier Villalibre,3,1,2,2,2
Gonzalo Villar,17,18,55,9,5
Gonzalo Villar,20,12,50,7,7
Iván Villar,0,2,23,2,1
Matías Viña,7,11,28,4,7
Matías Viña,4,1,5,1,0
Rúben Vinagre,0,3,4,0,1
Carlos Vinícius,21,15,22,27,63
Alan Virginius,6,2,9,1,11
Mattia Viti,3,5,27,13,7
Vitinha,7,8,27,5,13
Vitinha,31,19,164,5,4
Daniel Vivian,38,21,214,40,55
Dušan Vlahović,19,26,55,36,56
Nikola Vlašić,32,38,128,25,49
Joel Voelkerling Persson,3,1,7,8,10
Kevin Vogt,22,11,134,11,14
Mërgim Vojvoda,19,7,117,10,18
Kevin Volland,20,13,27,11,14
Cristian Volpato,7,6,18,1,1
Lukáš Vorlický,0,0,5,2,2
Aster Vranckx,6,4,12,4,5
Aster Vranckx,0,1,3,0,0
Stefan de Vrij,15,7,100,82,30
Robert Wagner,0,1,3,2,2
Elye Wahi,32,40,47,20,78
Walace,40,39,297,23,29
Theo Walcott,7,10,53,9,8
Luca Waldschmidt,14,4,21,1,9
Kyle Walker,15,10,124,23,11
Kyle Walker-Peters,25,41,156,16,28
Sebastian Walukiewicz,5,2,21,4,7
Aaron Wan-Bissaka,11,2,73,13,17
Paul Wanner,1,0,1,1,0
Danny Ward,0,5,27,3,0
Joel Ward,29,11,116,58,39
James Ward-Prowse,34,19,222,44,52
Ollie Watkins,26,39,59,70,100
Timothy Weah,17,18,84,13,20
Adam Webster,10,6,143,60,27
Wout Weghorst,14,9,34,15,25
Julian Weigl,21,29,116,18,13
Nelson Weiper,2,2,5,7,7
Mitchell Weiser,36,57,196,25,29
Noah Weißhaupt,2,20,30,4,5
Shon Weissman,5,8,24,4,23
Danny Welbeck,25,18,37,32,27
Marcel Wenig,0,0,0,0,0
Axel Werner,0,0,0,0,0
Timo Werner,6,13,55,5,11
Ben White,28,30,155,33,41
Harvey White,0,0,0,1,0
Joseph Whitworth,0,0,4,0,0
Silvan Widmer,11,16,98,17,25
Mateusz Wieteska,29,30,185,78,41
Georginio Wijnaldum,3,9,32,13,5
Iñaki Williams,31,31,76,32,36
Neco Williams,33,27,127,17,27
Nico Williams,23,35,147,20,27
Willian,11,24,105,8,24
Joe Willock,35,23,136,16,16
Callum Wilson,21,31,39,21,48
Harry Wilson,11,32,54,4,12
Patrick Wimmer,42,32,91,22,31
Jonas Wind,17,22,43,61,55
Harry Winks,15,13,120,6,12
Frederik Winther,0,0,2,6,3
Florian Wirtz,13,27,77,2,12
Przemysław Wiśniewski,13,7,46,40,16
Yoane Wissa,21,26,69,24,26
Axel Witsel,20,15,119,41,36
Maximilian Wöber,15,1,75,27,21
Hannes Wolf,7,12,31,4,8
Marius Wolf,12,22,92,6,6
Jeong Woo-yeong,12,7,27,3,16
Chris Wood,4,4,17,23,23
Chris Wood,2,3,4,19,24
Christopher Wooh,17,10,34,21,12
Christopher Wooh,0,0,0,0,0
Joe Worrall,27,4,123,55,33
Xeka,13,11,38,8,15
Granit Xhaka,26,39,152,37,30
Lamine Yamal,0,0,0,0,1
Jawad El Yamiq,13,9,118,42,25
Ryan Yates,50,53,111,29,21
Yusuf Yazıcı,4,1,5,0,0
Kelvin Yeboah,11,11,19,14,22
Gerard Yepes,7,4,13,5,2
Darlin Yongwa,14,16,40,3,8
Leny Yoro,5,5,41,12,8
Maya Yoshida,20,18,168,83,42
Ashley Young,24,28,131,13,11
Mohamed Youssouf,40,37,140,47,37
Illia Zabarnyi,1,2,18,1,3
Mattia Zaccagni,53,117,132,15,29
Dan-Axel Zagadou,12,2,83,53,20
Wilfried Zaha,35,77,97,6,16
Warren Zaire-Emery,9,5,54,3,11
Denis Zakaria,5,2,21,0,2
Denis Zakaria,0,0,5,0,0
Rodrigo Zalazar,22,36,97,24,39
Joseba Zaldúa,11,4,23,19,12
Nicola Zalewski,22,51,135,4,16
Andre-Frank Zambo Anguissa,44,48,226,47,27
Oliver Zandén,3,6,8,1,2
Luca Zanimacchia,9,10,48,3,10
Nicolò Zaniolo,22,32,39,5,8
Alessandro Zanoli,4,10,79,10,19
Alessandro Zanoli,0,0,0,0,1
Mattia Zanotti,2,0,2,0,1
Duván Zapata,17,37,42,42,43
Davide Zappacosta,18,13,90,2,8
Oier Zarraga,17,12,56,9,12
Akim Zedadka,23,27,95,24,23
Akim Zedadka,5,8,24,5,5
Karim Zedadka,0,4,0,1,1
Deyovaisio Zeefuik,0,0,1,0,0
Marvin Zeegelaar,13,1,16,8,2
Mehdi Zeffane,4,3,36,3,8
Aaron Zehnter,0,0,0,0,0
Jordan Zemura,17,14,78,7,11
Arber Zeneli,7,12,58,4,8
Robin Zentner,0,3,43,16,0
Alessio Zerbin,9,6,8,0,1
Michael Zetterer,0,0,1,1,0
Nathan Zeze,0,1,2,1,1
Edon Zhegrova,11,15,58,0,6
Piotr Zieliński,21,35,102,4,13
David Zima,4,2,24,15,9
Oleksandr Zinchenko,6,11,163,51,20
Joshua Zirkzee,8,9,19,12,25
Hakim Ziyech,12,14,46,0,5
Jeroen Zoet,0,0,8,0,0
Simon Zoller,21,8,57,15,20
Nadir Zortea,4,0,14,5,1
Nadir Zortea,11,6,35,6,8
Tanguy Zoukrou,5,1,32,7,7
Kurt Zouma,14,7,84,55,13
Petar Zovko,0,0,2,0,0
Igor Zubeldia,44,10,165,60,53
Martín Zubimendi,50,31,218,58,34
Szymon Żurkowski,1,0,2,1,1
Szymon Żurkowski,15,11,26,6,10
Martin Ødegaard,30,26,178,13,20
Milan Đurić,24,29,30,197,57
Filip Đuričić,38,48,110,14,29
Blanco,2,1,,,
Hugo Guillamón,35,34,,,
